sim_time, my_robot/rail_cart_joint?0/position_1
0.481, -1.06961e-11
0.482, 1.08507e-11
0.483, 1.04503e-11
0.484, -1.10962e-11
0.485, -1.06903e-11
0.486, 1.08564e-11
0.487, 1.04561e-11
0.488, -1.10905e-11
0.489, -1.06846e-11
0.49, 1.08622e-11
0.491, 1.04621e-11
0.492, -1.10845e-11
0.493, -1.06783e-11
0.494, 1.08686e-11
0.495, 1.04683e-11
0.496, -1.10782e-11
0.497, -1.06721e-11
0.498, 1.08749e-11
0.499, 1.04745e-11
0.5, -1.1072e-11
0.501, -1.06659e-11
0.502, 1.08811e-11
0.503, 1.04807e-11
0.504, -1.10656e-11
0.505, -1.06595e-11
0.506, 1.08877e-11
0.507, 1.04876e-11
0.508, -1.10589e-11
0.509, -1.06526e-11
0.51, 1.08946e-11
0.511, 1.04945e-11
0.512, -1.1052e-11
0.513, -1.06457e-11
0.514, 1.09015e-11
0.515, 1.05014e-11
0.516, -1.10452e-11
0.517, -1.06388e-11
0.518, 1.09084e-11
0.519, 1.05083e-11
0.52, -1.10383e-11
0.521, -1.06319e-11
0.522, 1.09153e-11
0.523, 1.05151e-11
0.524, -1.10314e-11
0.525, -1.06251e-11
0.526, 1.09222e-11
0.527, 1.0522e-11
0.528, -1.10245e-11
0.529, -1.0618e-11
0.53, 1.09293e-11
0.531, 1.05291e-11
0.532, -1.10172e-11
0.533, -1.06106e-11
0.534, 1.09366e-11
0.535, 1.05365e-11
0.536, -1.10099e-11
0.537, -1.06033e-11
0.538, 1.09439e-11
0.539, 1.05438e-11
0.54, -1.10023e-11
0.541, -1.05957e-11
0.542, 1.09517e-11
0.543, 1.05518e-11
0.544, -1.09945e-11
0.545, -1.0588e-11
0.546, 1.09595e-11
0.547, 1.05596e-11
0.548, -1.09865e-11
0.549, -1.058e-11
0.55, 1.09674e-11
0.551, 1.05675e-11
0.552, -1.09788e-11
0.553, -1.05722e-11
0.554, 1.09752e-11
0.555, 1.05753e-11
0.556, -1.09708e-11
0.557, -1.05642e-11
0.558, 1.09832e-11
0.559, 1.05833e-11
0.56, -1.0963e-11
0.561, -1.05562e-11
0.562, 1.09912e-11
0.563, 1.05913e-11
0.564, -1.09548e-11
0.565, -1.05482e-11
0.566, 1.09992e-11
0.567, 1.05993e-11
0.568, -1.09468e-11
0.569, -1.05402e-11
0.57, 1.10072e-11
0.571, 1.06073e-11
0.572, -1.09386e-11
0.573, -1.0532e-11
0.574, 1.10154e-11
0.575, 1.06157e-11
0.576, -1.09301e-11
0.577, -1.05236e-11
0.578, 1.10241e-11
0.579, 1.06244e-11
0.58, -1.09215e-11
0.581, -1.05149e-11
0.582, 1.10327e-11
0.583, 1.0633e-11
0.584, -1.09128e-11
0.585, -1.05063e-11
0.586, 1.10414e-11
0.587, 1.06417e-11
0.588, -1.09042e-11
0.589, -1.04976e-11
0.59, 1.105e-11
0.591, 1.06501e-11
0.592, -1.08957e-11
0.593, -1.04892e-11
0.594, 1.10585e-11
0.595, 1.06588e-11
0.596, -1.08871e-11
0.597, -1.04803e-11
0.598, 1.10674e-11
0.599, 1.06677e-11
0.6, -1.08782e-11
0.601, -1.04714e-11
0.602, 1.10763e-11
0.603, 1.06763e-11
0.604, -1.08695e-11
0.605, -1.04627e-11
0.606, 1.10849e-11
0.607, 1.0685e-11
0.608, -1.08606e-11
0.609, -1.04539e-11
0.61, 1.1094e-11
0.611, 1.06946e-11
0.612, -1.08511e-11
0.613, -1.04443e-11
0.614, 1.11036e-11
0.615, 1.07041e-11
0.616, -1.08415e-11
0.617, -1.04348e-11
0.618, 1.11131e-11
0.619, 1.07134e-11
0.62, -1.08322e-11
0.621, -1.04254e-11
0.622, 1.11224e-11
0.623, 1.0723e-11
0.624, -1.08227e-11
0.625, -1.04159e-11
0.626, 1.11322e-11
0.627, 1.07325e-11
0.628, -1.08131e-11
0.629, -1.04063e-11
0.63, 1.11418e-11
0.631, 1.07421e-11
0.632, -1.08036e-11
0.633, -1.03966e-11
0.634, 1.11515e-11
0.635, 1.07518e-11
0.636, -1.07938e-11
0.637, -1.03868e-11
0.638, 1.11613e-11
0.639, 1.07616e-11
0.64, -1.07838e-11
0.641, -1.03768e-11
0.642, 1.11713e-11
0.643, 1.07716e-11
0.644, -1.07738e-11
0.645, -1.03668e-11
0.646, 1.11815e-11
0.647, 1.0782e-11
0.648, -1.07634e-11
0.649, -1.03564e-11
0.65, 1.11919e-11
0.651, 1.07925e-11
0.652, -1.0753e-11
0.653, -1.03459e-11
0.654, 1.12024e-11
0.655, 1.08029e-11
0.656, -1.07425e-11
0.657, -1.03355e-11
0.658, 1.12128e-11
0.659, 1.08134e-11
0.66, -1.07321e-11
0.661, -1.03251e-11
0.662, 1.12232e-11
0.663, 1.08238e-11
0.664, -1.07216e-11
0.665, -1.03144e-11
0.666, 1.12339e-11
0.667, 1.08344e-11
0.668, -1.0711e-11
0.669, -1.03038e-11
0.67, 1.12446e-11
0.671, 1.08451e-11
0.672, -1.07003e-11
0.673, -1.02931e-11
0.674, 1.12552e-11
0.675, 1.08558e-11
0.676, -1.06894e-11
0.677, -1.02822e-11
0.678, 1.12661e-11
0.679, 1.08669e-11
0.68, -1.06783e-11
0.681, -1.02711e-11
0.682, 1.12774e-11
0.683, 1.08782e-11
0.684, -1.06668e-11
0.685, -1.02596e-11
0.686, 1.1289e-11
0.687, 1.08897e-11
0.688, -1.06555e-11
0.689, -1.02482e-11
0.69, 1.13003e-11
0.691, 1.09011e-11
0.692, -1.06442e-11
0.693, -1.02369e-11
0.694, 1.13116e-11
0.695, 1.09124e-11
0.696, -1.06328e-11
0.697, -1.02256e-11
0.698, 1.13229e-11
0.699, 1.09237e-11
0.7, -1.06213e-11
0.701, -1.02138e-11
0.702, 1.13347e-11
0.703, 1.09355e-11
0.704, -1.06097e-11
0.705, -1.02023e-11
0.706, 1.13463e-11
0.707, 1.0947e-11
0.708, -1.05982e-11
0.709, -1.01907e-11
0.71, 1.13578e-11
0.711, 1.09586e-11
0.712, -1.05862e-11
0.713, -1.01787e-11
0.714, 1.13698e-11
0.715, 1.09708e-11
0.716, -1.05742e-11
0.717, -1.01668e-11
0.718, 1.1382e-11
0.719, 1.0983e-11
0.72, -1.0562e-11
0.721, -1.01545e-11
0.722, 1.13942e-11
0.723, 1.09952e-11
0.724, -1.05496e-11
0.725, -1.01421e-11
0.726, 1.14067e-11
0.727, 1.10076e-11
0.728, -1.05373e-11
0.729, -1.01299e-11
0.73, 1.14189e-11
0.731, 1.10199e-11
0.732, -1.05251e-11
0.733, -1.01177e-11
0.734, 1.14311e-11
0.735, 1.10321e-11
0.736, -1.05129e-11
0.737, -1.01052e-11
0.738, 1.14435e-11
0.739, 1.10445e-11
0.74, -1.05003e-11
0.741, -1.00928e-11
0.742, 1.14559e-11
0.743, 1.10569e-11
0.744, -1.04876e-11
0.745, -1.00802e-11
0.746, 1.14686e-11
0.747, 1.10696e-11
0.748, -1.0475e-11
0.749, -1.00675e-11
0.75, 1.14815e-11
0.751, 1.10827e-11
0.752, -1.04619e-11
0.753, -1.00544e-11
0.754, 1.14946e-11
0.755, 1.10958e-11
0.756, -1.04488e-11
0.757, -1.00413e-11
0.758, 1.15077e-11
0.759, 1.11089e-11
0.76, -1.04357e-11
0.761, -1.00282e-11
0.762, 1.15208e-11
0.763, 1.1122e-11
0.764, -1.04226e-11
0.765, -1.00151e-11
0.766, 1.15339e-11
0.767, 1.11351e-11
0.768, -1.04095e-11
0.769, -1.0002e-11
0.77, 1.1547e-11
0.771, 1.11482e-11
0.772, -1.03964e-11
0.773, -9.98868e-12
0.774, 1.15603e-11
0.775, 1.11615e-11
0.776, -1.0383e-11
0.777, -9.97535e-12
0.778, 1.15736e-11
0.779, 1.11748e-11
0.78, -1.03697e-11
0.781, -9.96203e-12
0.782, 1.1587e-11
0.783, 1.11882e-11
0.784, -1.03562e-11
0.785, -9.94849e-12
0.786, 1.16007e-11
0.787, 1.12022e-11
0.788, -1.03422e-11
0.789, -9.9345e-12
0.79, 1.16147e-11
0.791, 1.12161e-11
0.792, -1.03282e-11
0.793, -9.92051e-12
0.794, 1.16287e-11
0.795, 1.12301e-11
0.796, -1.03142e-11
0.797, -9.90652e-12
0.798, 1.16427e-11
0.799, 1.12439e-11
0.8, -1.03004e-11
0.801, -9.89275e-12
0.802, 1.16565e-11
0.803, 1.12579e-11
0.804, -1.02864e-11
0.805, -9.87876e-12
0.806, 1.16704e-11
0.807, 1.12719e-11
0.808, -1.02724e-11
0.809, -9.86455e-12
0.81, 1.16847e-11
0.811, 1.12861e-11
0.812, -1.02582e-11
0.813, -9.85034e-12
0.814, 1.16989e-11
0.815, 1.13001e-11
0.816, -1.0244e-11
0.817, -9.83613e-12
0.818, 1.17131e-11
0.819, 1.13145e-11
0.82, -1.02296e-11
0.821, -9.8217e-12
0.822, 1.17277e-11
0.823, 1.13294e-11
0.824, -1.02147e-11
0.825, -9.80682e-12
0.826, 1.17426e-11
0.827, 1.13443e-11
0.828, -1.01998e-11
0.829, -9.79195e-12
0.83, 1.17575e-11
0.831, 1.13591e-11
0.832, -1.0185e-11
0.833, -9.77707e-12
0.834, 1.17724e-11
0.835, 1.13738e-11
0.836, -1.01703e-11
0.837, -9.76241e-12
0.838, 1.1787e-11
0.839, 1.13887e-11
0.84, -1.01554e-11
0.841, -9.74731e-12
0.842, 1.18021e-11
0.843, 1.14038e-11
0.844, -1.01403e-11
0.845, -9.73222e-12
0.846, 1.18172e-11
0.847, 1.14189e-11
0.848, -1.01252e-11
0.849, -9.71712e-12
0.85, 1.18323e-11
0.851, 1.1434e-11
0.852, -1.01099e-11
0.853, -9.70179e-12
0.854, 1.18476e-11
0.855, 1.14491e-11
0.856, -1.00948e-11
0.857, -9.6867e-12
0.858, 1.1863e-11
0.859, 1.14648e-11
0.86, -1.0079e-11
0.861, -9.67093e-12
0.862, 1.18787e-11
0.863, 1.14806e-11
0.864, -1.00633e-11
0.865, -9.65517e-12
0.866, 1.18947e-11
0.867, 1.14964e-11
0.868, -1.00475e-11
0.869, -9.6394e-12
0.87, 1.19105e-11
0.871, 1.15121e-11
0.872, -1.00318e-11
0.873, -9.62364e-12
0.874, 1.19262e-11
0.875, 1.15279e-11
0.876, -1.0016e-11
0.877, -9.60765e-12
0.878, 1.19422e-11
0.879, 1.15439e-11
0.88, -1e-11
0.881, -9.59166e-12
0.882, 1.19582e-11
0.883, 1.15599e-11
0.884, -9.98401e-12
0.885, -9.57567e-12
0.886, 1.19742e-11
0.887, 1.15759e-11
0.888, -9.9678e-12
0.889, -9.55946e-12
0.89, 1.19904e-11
0.891, 1.15923e-11
0.892, -9.95137e-12
0.893, -9.54303e-12
0.894, 1.20071e-11
0.895, 1.16089e-11
0.896, -9.93472e-12
0.897, -9.52638e-12
0.898, 1.20237e-11
0.899, 1.16256e-11
0.9, -9.91807e-12
0.901, -9.50973e-12
0.902, 1.20404e-11
0.903, 1.16422e-11
0.904, -9.90141e-12
0.905, -9.49307e-12
0.906, 1.2057e-11
0.907, 1.16589e-11
0.908, -9.88476e-12
0.909, -9.47642e-12
0.91, 1.20737e-11
0.911, 1.16755e-11
0.912, -9.86811e-12
0.913, -9.45954e-12
0.914, 1.20906e-11
0.915, 1.16924e-11
0.916, -9.85123e-12
0.917, -9.44267e-12
0.918, 1.21074e-11
