sim_time, my_robot/cart?world_linear_velocity/x_1
0.546, 1.61809e-11
0.547, -3.4239e-11
0.548, -1.22897e-11
0.549, 3.79747e-11
0.55, 1.62026e-11
0.551, -3.42173e-11
0.552, -1.22604e-11
0.553, 3.8004e-11
0.554, 1.6228e-11
0.555, -3.41841e-11
0.556, -1.22311e-11
0.557, 3.80258e-11
0.558, 1.62574e-11
0.559, -3.41624e-11
0.56, -1.22094e-11
0.561, 3.80551e-11
0.562, 1.6279e-11
0.563, -3.41368e-11
0.564, -1.21802e-11
0.565, 3.80844e-11
0.566, 1.63082e-11
0.567, -3.41075e-11
0.568, -1.21547e-11
0.569, 3.811e-11
0.57, 1.63336e-11
0.571, -3.40819e-11
0.572, -1.21255e-11
0.573, 3.81355e-11
0.574, 1.63591e-11
0.575, -3.40564e-11
0.576, -1.21077e-11
0.577, 3.81572e-11
0.578, 1.63845e-11
0.579, -3.40347e-11
0.58, -1.20823e-11
0.581, 3.81828e-11
0.582, 1.64061e-11
0.583, -3.40092e-11
0.584, -1.20608e-11
0.585, 3.82044e-11
0.586, 1.64276e-11
0.587, -3.39836e-11
0.588, -1.20277e-11
0.589, 3.82376e-11
0.59, 1.64645e-11
0.591, -3.39543e-11
0.592, -1.20062e-11
0.593, 3.82593e-11
0.594, 1.6486e-11
0.595, -3.39288e-11
0.596, -1.19731e-11
0.597, 3.82887e-11
0.598, 1.65153e-11
0.599, -3.39071e-11
0.6, -1.19516e-11
0.601, 3.83141e-11
0.602, 1.65368e-11
0.603, -3.38778e-11
0.604, -1.19262e-11
0.605, 3.83397e-11
0.606, 1.65622e-11
0.607, -3.38523e-11
0.608, -1.1897e-11
0.609, 3.83614e-11
0.61, 1.65913e-11
0.611, -3.38267e-11
0.612, -1.18755e-11
0.613, 3.8383e-11
0.614, 1.66091e-11
0.615, -3.3805e-11
0.616, -1.18578e-11
0.617, 3.84086e-11
0.618, 1.66306e-11
0.619, -3.37795e-11
0.62, -1.18286e-11
0.621, 3.84341e-11
0.622, 1.66636e-11
0.623, -3.37578e-11
0.624, -1.18032e-11
0.625, 3.84634e-11
0.626, 1.6689e-11
0.627, -3.37286e-11
0.628, -1.1774e-11
0.629, 3.84889e-11
0.63, 1.67144e-11
0.631, -3.36954e-11
0.632, -1.17447e-11
0.633, 3.85182e-11
0.634, 1.67398e-11
0.635, -3.36738e-11
0.636, -1.17194e-11
0.637, 3.85437e-11
0.638, 1.6769e-11
0.639, -3.36483e-11
0.64, -1.1694e-11
0.641, 3.85653e-11
0.642, 1.67905e-11
0.643, -3.36228e-11
0.644, -1.16686e-11
0.645, 3.85946e-11
0.646, 1.68159e-11
0.647, -3.36012e-11
0.648, -1.16548e-11
0.649, 3.86124e-11
0.65, 1.68374e-11
0.651, -3.35796e-11
0.652, -1.16294e-11
0.653, 3.8634e-11
0.654, 1.6859e-11
0.655, -3.35503e-11
0.656, -1.16002e-11
0.657, 3.86633e-11
0.658, 1.68882e-11
0.659, -3.35249e-11
0.66, -1.1571e-11
0.661, 3.86926e-11
0.662, 1.69173e-11
0.663, -3.34918e-11
0.664, -1.15418e-11
0.665, 3.87218e-11
0.666, 1.69427e-11
0.667, -3.34702e-11
0.668, -1.15165e-11
0.669, 3.87472e-11
0.67, 1.6968e-11
0.671, -3.34409e-11
0.672, -1.14873e-11
0.673, 3.87765e-11
0.674, 1.69972e-11
0.675, -3.34155e-11
0.676, -1.14658e-11
0.677, 3.87981e-11
0.678, 1.70187e-11
0.679, -3.33901e-11
0.68, -1.14443e-11
0.681, 3.88197e-11
0.682, 1.7044e-11
0.683, -3.33724e-11
0.684, -1.14228e-11
0.685, 3.88412e-11
0.686, 1.70656e-11
0.687, -3.3347e-11
0.688, -1.14013e-11
0.689, 3.88666e-11
0.69, 1.70909e-11
0.691, -3.33254e-11
0.692, -1.13683e-11
0.693, 3.88958e-11
0.694, 1.71239e-11
0.695, -3.32962e-11
0.696, -1.1343e-11
0.697, 3.89212e-11
0.698, 1.71453e-11
0.699, -3.32632e-11
0.7, -1.13177e-11
0.701, 3.89504e-11
0.702, 1.71707e-11
0.703, -3.32417e-11
0.704, -1.12885e-11
0.705, 3.89757e-11
0.706, 1.7196e-11
0.707, -3.32163e-11
0.708, -1.12632e-11
0.709, 3.90011e-11
0.71, 1.72213e-11
0.711, -3.31871e-11
0.712, -1.12379e-11
0.713, 3.90264e-11
0.714, 1.72466e-11
0.715, -3.31657e-11
0.716, -1.12164e-11
0.717, 3.90441e-11
0.718, 1.72719e-11
0.719, -3.3148e-11
0.72, -1.11989e-11
0.721, 3.90657e-11
0.722, 1.72895e-11
0.723, -3.31189e-11
0.724, -1.11736e-11
0.725, 3.90948e-11
0.726, 1.73187e-11
0.727, -3.30936e-11
0.728, -1.11407e-11
0.729, 3.91239e-11
0.73, 1.73477e-11
0.731, -3.30644e-11
0.732, -1.11154e-11
0.733, 3.91492e-11
0.734, 1.73768e-11
0.735, -3.30391e-11
0.736, -1.10863e-11
0.737, 3.91783e-11
0.738, 1.73982e-11
0.739, -3.301e-11
0.74, -1.10611e-11
0.741, 3.92075e-11
0.742, 1.74273e-11
0.743, -3.29847e-11
0.744, -1.10321e-11
0.745, 3.92289e-11
0.746, 1.74487e-11
0.747, -3.29633e-11
0.748, -1.10107e-11
0.749, 3.92504e-11
0.75, 1.74739e-11
0.751, -3.29417e-11
0.752, -1.0993e-11
0.753, 3.92718e-11
0.754, 1.74991e-11
0.755, -3.29203e-11
0.756, -1.09678e-11
0.757, 3.92971e-11
0.758, 1.75243e-11
0.759, -3.2895e-11
0.76, -1.09427e-11
0.761, 3.93224e-11
0.762, 1.75458e-11
0.763, -3.28621e-11
