sim_time, my_robot/cart?world_linear_acceleration/x_1
0.645, 4.8695e-08
0.646, -2.34003e-08
0.647, -4.88491e-08
0.648, 2.35682e-08
0.649, 4.8699e-08
0.65, -2.33965e-08
0.651, -4.88491e-08
0.652, 2.3572e-08
0.653, 4.86952e-08
0.654, -2.33966e-08
0.655, -4.88412e-08
0.656, 2.35719e-08
0.657, 4.86952e-08
0.658, -2.33967e-08
0.659, -4.8845e-08
0.66, 2.35756e-08
0.661, 4.86954e-08
0.662, -2.33968e-08
0.663, -4.88411e-08
0.664, 2.35717e-08
0.665, 4.86955e-08
0.666, -2.34007e-08
0.667, -4.88448e-08
0.668, 2.35754e-08
0.669, 4.86955e-08
0.67, -2.34008e-08
0.671, -4.88409e-08
0.672, 2.35754e-08
0.673, 4.86956e-08
0.674, -2.34009e-08
0.675, -4.88447e-08
0.676, 2.35715e-08
0.677, 4.86957e-08
0.678, -2.3401e-08
0.679, -4.88408e-08
0.68, 2.35676e-08
0.681, 4.86958e-08
0.682, -2.33972e-08
0.683, -4.88484e-08
0.684, 2.35713e-08
0.685, 4.86958e-08
0.686, -2.33972e-08
0.687, -4.88445e-08
0.688, 2.35675e-08
0.689, 4.86996e-08
0.69, -2.33972e-08
0.691, -4.88483e-08
0.692, 2.35789e-08
0.693, 4.86959e-08
0.694, -2.33935e-08
0.695, -4.88521e-08
0.696, 2.3575e-08
0.697, 4.8696e-08
0.698, -2.33974e-08
0.699, -4.88405e-08
0.7, 2.35673e-08
0.701, 4.86998e-08
0.702, -2.34012e-08
0.703, -4.88443e-08
0.704, 2.35749e-08
0.705, 4.8696e-08
0.706, -2.34013e-08
0.707, -4.88443e-08
0.708, 2.35749e-08
0.709, 4.86961e-08
0.71, -2.34014e-08
0.711, -4.88404e-08
0.712, 2.3571e-08
0.713, 4.86961e-08
0.714, -2.34014e-08
0.715, -4.88443e-08
0.716, 2.3571e-08
0.717, 4.86923e-08
0.718, -2.33938e-08
0.719, -4.88519e-08
0.72, 2.35709e-08
0.721, 4.86963e-08
0.722, -2.33977e-08
0.723, -4.88404e-08
0.724, 2.3567e-08
0.725, 4.87002e-08
0.726, -2.33976e-08
0.727, -4.88443e-08
0.728, 2.35747e-08
0.729, 4.86963e-08
0.73, -2.33978e-08
0.731, -4.88441e-08
0.732, 2.35708e-08
0.733, 4.86963e-08
0.734, -2.3394e-08
0.735, -4.88479e-08
0.736, 2.35746e-08
0.737, 4.86964e-08
0.738, -2.34017e-08
0.739, -4.88401e-08
0.74, 2.35706e-08
0.741, 4.87004e-08
0.742, -2.34017e-08
0.743, -4.8844e-08
0.744, 2.35744e-08
0.745, 4.86927e-08
0.746, -2.34017e-08
0.747, -4.8844e-08
0.748, 2.35744e-08
0.749, 4.86928e-08
0.75, -2.3398e-08
0.751, -4.88476e-08
0.752, 2.35705e-08
0.753, 4.86966e-08
0.754, -2.33942e-08
0.755, -4.88514e-08
0.756, 2.35743e-08
0.757, 4.86966e-08
0.758, -2.33943e-08
0.759, -4.88514e-08
0.76, 2.35742e-08
0.761, 4.86968e-08
0.762, -2.33982e-08
0.763, -4.88399e-08
0.764, 2.35664e-08
0.765, 4.86969e-08
0.766, -2.33982e-08
0.767, -4.88398e-08
0.768, 2.35702e-08
0.769, 4.86969e-08
0.77, -2.33984e-08
0.771, -4.88396e-08
0.772, 2.35663e-08
0.773, 4.86969e-08
0.774, -2.34022e-08
0.775, -4.88396e-08
0.776, 2.35701e-08
0.777, 4.87008e-08
0.778, -2.34061e-08
0.779, -4.88395e-08
0.78, 2.35701e-08
0.781, 4.87008e-08
0.782, -2.34062e-08
0.783, -4.88394e-08
0.784, 2.35699e-08
0.785, 4.8697e-08
0.786, -2.33985e-08
0.787, -4.88432e-08
0.788, 2.35661e-08
0.789, 4.86971e-08
0.79, -2.33986e-08
0.791, -4.88393e-08
0.792, 2.3566e-08
0.793, 4.86971e-08
0.794, -2.33986e-08
0.795, -4.88393e-08
0.796, 2.3566e-08
0.797, 4.86972e-08
0.798, -2.33987e-08
0.799, -4.88431e-08
0.8, 2.35736e-08
0.801, 4.86974e-08
0.802, -2.33989e-08
0.803, -4.8843e-08
0.804, 2.35696e-08
0.805, 4.87012e-08
0.806, -2.33989e-08
0.807, -4.88429e-08
0.808, 2.35695e-08
0.809, 4.86976e-08
0.81, -2.34028e-08
0.811, -4.88391e-08
0.812, 2.35695e-08
0.813, 4.86976e-08
0.814, -2.34029e-08
0.815, -4.88429e-08
0.816, 2.35694e-08
0.817, 4.86978e-08
0.818, -2.33992e-08
0.819, -4.88388e-08
0.82, 2.35693e-08
0.821, 4.86938e-08
0.822, -2.33992e-08
0.823, -4.88464e-08
0.824, 2.35654e-08
0.825, 4.86978e-08
0.826, -2.33993e-08
0.827, -4.88387e-08
0.828, 2.35692e-08
0.829, 4.86978e-08
0.83, -2.33955e-08
0.831, -4.88464e-08
0.832, 2.3573e-08
0.833, 4.8694e-08
0.834, -2.33955e-08
0.835, -4.88424e-08
0.836, 2.35729e-08
0.837, 4.8698e-08
0.838, -2.33995e-08
0.839, -4.88461e-08
0.84, 2.35728e-08
0.841, 4.8698e-08
0.842, -2.34034e-08
0.843, -4.88422e-08
0.844, 2.35689e-08
0.845, 4.86981e-08
0.846, -2.33996e-08
0.847, -4.88422e-08
0.848, 2.35688e-08
0.849, 4.87019e-08
0.85, -2.34035e-08
0.851, -4.88422e-08
0.852, 2.35688e-08
0.853, 4.86982e-08
0.854, -2.33997e-08
0.855, -4.88421e-08
0.856, 2.35726e-08
0.857, 4.86983e-08
0.858, -2.33999e-08
0.859, -4.88497e-08
0.86, 2.35686e-08
0.861, 4.87022e-08
0.862, -2.34037e-08
0.863, -4.88458e-08
0.864, 2.35762e-08
0.865, 4.86985e-08
0.866, -2.34038e-08
0.867, -4.88421e-08
0.868, 2.35686e-08
0.869, 4.86986e-08
0.87, -2.34e-08
0.871, -4.8842e-08
0.872, 2.35685e-08
0.873, 4.86986e-08
0.874, -2.33923e-08
0.875, -4.88458e-08
0.876, 2.35723e-08
0.877, 4.86986e-08
0.878, -2.3404e-08
0.879, -4.88456e-08
0.88, 2.35723e-08
0.881, 4.87024e-08
0.882, -2.34078e-08
0.883, -4.88379e-08
0.884, 2.35684e-08
0.885, 4.87025e-08
0.886, -2.3404e-08
0.887, -4.88417e-08
0.888, 2.35684e-08
0.889, 4.86986e-08
0.89, -2.33964e-08
0.891, -4.88456e-08
0.892, 2.35684e-08
