sim_time, my_robot/rail_cart_joint?0/position
6.577, -6.81265e-09
6.578, -6.80428e-09
6.579, -6.81789e-09
6.58, -6.85267e-09
6.581, -6.86552e-09
6.582, -6.85725e-09
6.583, -6.87096e-09
6.584, -6.90584e-09
6.585, -6.91879e-09
6.586, -6.91063e-09
6.587, -6.92444e-09
6.588, -6.95942e-09
6.589, -6.97248e-09
6.59, -6.96442e-09
6.591, -6.97833e-09
6.592, -7.01341e-09
6.593, -7.02657e-09
6.594, -7.01862e-09
6.595, -7.03263e-09
6.596, -7.06782e-09
6.597, -7.08109e-09
6.598, -7.07323e-09
6.599, -7.08735e-09
6.6, -7.12265e-09
6.601, -7.13602e-09
6.602, -7.12827e-09
6.603, -7.1425e-09
6.604, -7.17789e-09
6.605, -7.19137e-09
6.606, -7.18373e-09
6.607, -7.19806e-09
6.608, -7.23356e-09
6.609, -7.24714e-09
6.61, -7.23961e-09
6.611, -7.25405e-09
6.612, -7.28966e-09
6.613, -7.30335e-09
6.614, -7.29592e-09
6.615, -7.31047e-09
6.616, -7.34619e-09
6.617, -7.35999e-09
6.618, -7.35267e-09
6.619, -7.36732e-09
6.62, -7.40315e-09
6.621, -7.41706e-09
6.622, -7.40985e-09
6.623, -7.42461e-09
6.624, -7.46055e-09
6.625, -7.47456e-09
6.626, -7.46746e-09
6.627, -7.48234e-09
6.628, -7.51839e-09
6.629, -7.53251e-09
6.63, -7.52553e-09
6.631, -7.54051e-09
6.632, -7.57667e-09
6.633, -7.59091e-09
6.634, -7.58403e-09
6.635, -7.59913e-09
6.636, -7.6354e-09
6.637, -7.64975e-09
6.638, -7.64299e-09
6.639, -7.6582e-09
6.64, -7.69458e-09
6.641, -7.70905e-09
6.642, -7.70239e-09
6.643, -7.71772e-09
6.644, -7.75422e-09
6.645, -7.76879e-09
6.646, -7.76226e-09
6.647, -7.7777e-09
6.648, -7.81431e-09
6.649, -7.829e-09
6.65, -7.82258e-09
6.651, -7.83814e-09
6.652, -7.87486e-09
6.653, -7.88967e-09
6.654, -7.88337e-09
6.655, -7.89904e-09
6.656, -7.93588e-09
6.657, -7.95081e-09
6.658, -7.94462e-09
6.659, -7.96041e-09
6.66, -7.99737e-09
6.661, -8.01241e-09
6.662, -8.00634e-09
6.663, -8.02225e-09
6.664, -8.05933e-09
6.665, -8.07449e-09
6.666, -8.06854e-09
6.667, -8.08456e-09
6.668, -8.12176e-09
6.669, -8.13704e-09
6.67, -8.13121e-09
6.671, -8.14735e-09
6.672, -8.18467e-09
6.673, -8.20007e-09
6.674, -8.19436e-09
6.675, -8.21063e-09
6.676, -8.24807e-09
6.677, -8.26359e-09
