sim_time, my_robot/cart?world_linear_velocity/x
6.449, -1.02625e-08
6.45, -1.0304e-08
6.451, -1.03742e-08
6.452, -1.0372e-08
6.453, -1.03416e-08
6.454, -1.03833e-08
6.455, -1.04536e-08
6.456, -1.04516e-08
6.457, -1.04213e-08
6.458, -1.04631e-08
6.459, -1.05336e-08
6.46, -1.05317e-08
6.461, -1.05016e-08
6.462, -1.05436e-08
6.463, -1.06142e-08
6.464, -1.06125e-08
6.465, -1.05825e-08
6.466, -1.06247e-08
6.467, -1.06954e-08
6.468, -1.06939e-08
6.469, -1.06641e-08
6.47, -1.07064e-08
6.471, -1.07773e-08
6.472, -1.07759e-08
6.473, -1.07463e-08
6.474, -1.07887e-08
6.475, -1.08598e-08
6.476, -1.08586e-08
6.477, -1.08291e-08
6.478, -1.08717e-08
6.479, -1.09429e-08
6.48, -1.09418e-08
6.481, -1.09125e-08
6.482, -1.09553e-08
6.483, -1.10267e-08
6.484, -1.10258e-08
6.485, -1.09966e-08
6.486, -1.10395e-08
6.487, -1.11111e-08
6.488, -1.11103e-08
6.489, -1.10813e-08
6.49, -1.11244e-08
6.491, -1.11961e-08
6.492, -1.11955e-08
6.493, -1.11667e-08
6.494, -1.12099e-08
6.495, -1.12818e-08
6.496, -1.12814e-08
6.497, -1.12527e-08
6.498, -1.12961e-08
6.499, -1.13681e-08
6.5, -1.13679e-08
6.501, -1.13394e-08
6.502, -1.13829e-08
6.503, -1.14552e-08
6.504, -1.14551e-08
6.505, -1.14267e-08
6.506, -1.14704e-08
6.507, -1.15428e-08
6.508, -1.15429e-08
6.509, -1.15147e-08
6.51, -1.15586e-08
6.511, -1.16312e-08
6.512, -1.16314e-08
6.513, -1.16034e-08
6.514, -1.16475e-08
6.515, -1.17202e-08
6.516, -1.17206e-08
6.517, -1.16928e-08
6.518, -1.1737e-08
6.519, -1.18099e-08
6.52, -1.18105e-08
6.521, -1.17828e-08
6.522, -1.18272e-08
6.523, -1.19003e-08
6.524, -1.19011e-08
6.525, -1.18736e-08
6.526, -1.19181e-08
6.527, -1.19914e-08
6.528, -1.19923e-08
6.529, -1.1965e-08
6.53, -1.20098e-08
6.531, -1.20832e-08
6.532, -1.20843e-08
6.533, -1.20571e-08
6.534, -1.21021e-08
6.535, -1.21757e-08
6.536, -1.2177e-08
6.537, -1.215e-08
6.538, -1.21951e-08
6.539, -1.22689e-08
6.54, -1.22703e-08
6.541, -1.22435e-08
6.542, -1.22888e-08
6.543, -1.23628e-08
6.544, -1.23644e-08
6.545, -1.23378e-08
6.546, -1.23833e-08
6.547, -1.24574e-08
6.548, -1.24592e-08
6.549, -1.24328e-08
6.55, -1.24784e-08
6.551, -1.25528e-08
6.552, -1.25548e-08
6.553, -1.25285e-08
6.554, -1.25743e-08
6.555, -1.26488e-08
6.556, -1.2651e-08
6.557, -1.2625e-08
6.558, -1.2671e-08
6.559, -1.27457e-08
6.56, -1.2748e-08
6.561, -1.27221e-08
6.562, -1.27683e-08
6.563, -1.28432e-08
6.564, -1.28458e-08
6.565, -1.28201e-08
6.566, -1.28665e-08
6.567, -1.29415e-08
6.568, -1.29443e-08
6.569, -1.29187e-08
6.57, -1.29653e-08
6.571, -1.30406e-08
6.572, -1.30435e-08
6.573, -1.30182e-08
