sim_time, my_robot/rail_cart_joint?0/velocity_1
0.85, 1.77085e-08
0.851, -4.37446e-10
0.852, -1.77026e-08
0.853, 4.47004e-10
0.854, 1.77085e-08
0.855, -4.37424e-10
0.856, -1.77026e-08
0.857, 4.47044e-10
0.858, 1.77086e-08
0.859, -4.37392e-10
0.86, -1.77026e-08
0.861, 4.47063e-10
0.862, 1.77086e-08
0.863, -4.37373e-10
0.864, -1.77026e-08
0.865, 4.47086e-10
0.866, 1.77086e-08
0.867, -4.37364e-10
0.868, -1.77025e-08
0.869, 4.47104e-10
0.87, 1.77086e-08
0.871, -4.37341e-10
0.872, -1.77025e-08
0.873, 4.47127e-10
0.874, 1.77087e-08
0.875, -4.37314e-10
0.876, -1.77025e-08
0.877, 4.47158e-10
0.878, 1.77087e-08
0.879, -4.37295e-10
0.88, -1.77024e-08
0.881, 4.47181e-10
0.882, 1.77087e-08
0.883, -4.37268e-10
0.884, -1.77024e-08
0.885, 4.47204e-10
0.886, 1.77088e-08
0.887, -4.37245e-10
0.888, -1.77024e-08
0.889, 4.47223e-10
0.89, 1.77088e-08
0.891, -4.37222e-10
0.892, -1.77024e-08
0.893, 4.47246e-10
0.894, 1.77088e-08
0.895, -4.37206e-10
0.896, -1.77023e-08
0.897, 4.47266e-10
0.898, 1.77088e-08
0.899, -4.3718e-10
0.9, -1.77023e-08
0.901, 4.47289e-10
0.902, 1.77089e-08
0.903, -4.3716e-10
0.904, -1.77023e-08
0.905, 4.47308e-10
0.906, 1.77089e-08
0.907, -4.37133e-10
0.908, -1.77022e-08
0.909, 4.47335e-10
0.91, 1.77089e-08
0.911, -4.37106e-10
0.912, -1.77022e-08
0.913, 4.47366e-10
0.914, 1.77089e-08
0.915, -4.37087e-10
0.916, -1.77022e-08
0.917, 4.47387e-10
0.918, 1.7709e-08
0.919, -4.37064e-10
0.92, -1.77022e-08
0.921, 4.47414e-10
0.922, 1.7709e-08
0.923, -4.37033e-10
0.924, -1.77021e-08
0.925, 4.47437e-10
0.926, 1.7709e-08
0.927, -4.3701e-10
0.928, -1.77021e-08
0.929, 4.47456e-10
0.93, 1.77091e-08
0.931, -4.36994e-10
0.932, -1.77021e-08
0.933, 4.4748e-10
0.934, 1.77091e-08
0.935, -4.36971e-10
0.936, -1.77021e-08
0.937, 4.47499e-10
0.938, 1.77091e-08
0.939, -4.36948e-10
0.94, -1.7702e-08
0.941, 4.47523e-10
0.942, 1.77091e-08
0.943, -4.36921e-10
0.944, -1.7702e-08
0.945, 4.4755e-10
0.946, 1.77092e-08
0.947, -4.36897e-10
0.948, -1.7702e-08
0.949, 4.47576e-10
0.95, 1.77092e-08
0.951, -4.36873e-10
0.952, -1.77019e-08
0.953, 4.47599e-10
0.954, 1.77092e-08
0.955, -4.3685e-10
0.956, -1.77019e-08
0.957, 4.47622e-10
0.958, 1.77092e-08
0.959, -4.36823e-10
0.96, -1.77019e-08
0.961, 4.47646e-10
0.962, 1.77093e-08
0.963, -4.36804e-10
0.964, -1.77019e-08
0.965, 4.47661e-10
0.966, 1.77093e-08
0.967, -4.36784e-10
0.968, -1.77018e-08
0.969, 4.47689e-10
0.97, 1.77093e-08
0.971, -4.36763e-10
0.972, -1.77018e-08
0.973, 4.47708e-10
0.974, 1.77093e-08
0.975, -4.36738e-10
0.976, -1.77018e-08
0.977, 4.47732e-10
0.978, 1.77094e-08
0.979, -4.36713e-10
0.98, -1.77018e-08
0.981, 4.47758e-10
0.982, 1.77094e-08
0.983, -4.36686e-10
0.984, -1.77017e-08
0.985, 4.47782e-10
0.986, 1.77094e-08
0.987, -4.36662e-10
0.988, -1.77017e-08
0.989, 4.47809e-10
0.99, 1.77095e-08
0.991, -4.36635e-10
0.992, -1.77017e-08
0.993, 4.47832e-10
0.994, 1.77095e-08
0.995, -4.36611e-10
0.996, -1.77017e-08
0.997, 4.47856e-10
0.998, 1.77095e-08
0.999, -4.36595e-10
1, -1.77016e-08
1.001, 4.47871e-10
1.002, 1.77095e-08
1.003, -4.36571e-10
1.004, -1.77016e-08
1.005, 4.47898e-10
1.006, 1.77096e-08
1.007, -4.36548e-10
1.008, -1.77016e-08
1.009, 4.47918e-10
1.01, 1.77096e-08
1.011, -4.36524e-10
1.012, -1.77016e-08
1.013, 4.47929e-10
1.014, 1.77096e-08
1.015, -4.3651e-10
1.016, -1.77015e-08
1.017, 4.47957e-10
1.018, 1.77096e-08
1.019, -4.36485e-10
1.02, -1.77015e-08
1.021, 4.47981e-10
1.022, 1.77097e-08
1.023, -4.36462e-10
1.024, -1.77015e-08
1.025, 4.48005e-10
1.026, 1.77097e-08
1.027, -4.36438e-10
1.028, -1.77015e-08
1.029, 4.48032e-10
1.03, 1.77097e-08
1.031, -4.3641e-10
1.032, -1.77014e-08
1.033, 4.48052e-10
1.034, 1.77097e-08
1.035, -4.36391e-10
1.036, -1.77014e-08
1.037, 4.48075e-10
1.038, 1.77098e-08
1.039, -4.36367e-10
1.04, -1.77014e-08
1.041, 4.48099e-10
1.042, 1.77098e-08
1.043, -4.36347e-10
1.044, -1.77014e-08
1.045, 4.48118e-10
1.046, 1.77098e-08
1.047, -4.36323e-10
1.048, -1.77013e-08
1.049, 4.4815e-10
1.05, 1.77098e-08
1.051, -4.36292e-10
1.052, -1.77013e-08
1.053, 4.48153e-10
1.054, 1.77099e-08
1.055, -4.36285e-10
1.056, -1.77013e-08
1.057, 4.48187e-10
1.058, 1.77099e-08
1.059, -4.36261e-10
1.06, -1.77013e-08
1.061, 4.48209e-10
1.062, 1.77099e-08
1.063, -4.36238e-10
1.064, -1.77012e-08
1.065, 4.48229e-10
1.066, 1.77099e-08
1.067, -4.36215e-10
1.068, -1.77012e-08
1.069, 4.48254e-10
